year,winter_AO,winter_AO_factor,prior_winter_AO,prior_winter_AO_factor
1990,2.4641,positive,NA,NA
1991,-0.22652000000000003,negative,2.4641,positive
1992,0.88532,positive,-0.22652000000000003,negative
1993,1.4813833333333333,positive,0.88532,positive
1994,0.24387,positive,1.4813833333333333,positive
1995,0.5561200000000001,positive,0.24387,positive
1996,-0.84013,negative,0.5561200000000001,positive
1997,0.84091,positive,-0.84013,negative
1998,-0.8394,negative,0.84091,positive
1999,-0.2997066666666667,negative,-0.8394,negative
2000,0.6315466666666667,positive,-0.2997066666666667,negative
2001,-1.0892466666666667,negative,0.6315466666666667,positive
2002,1.1956,positive,-1.0892466666666667,negative
2003,0.19636666666666666,positive,1.1956,positive
2004,-0.9654133333333333,negative,0.19636666666666666,positive
2005,-0.7541100000000001,negative,-0.9654133333333333,negative
2006,-0.6433466666666666,negative,-0.7541100000000001,negative
2007,0.6363333333333333,positive,-0.6433466666666666,negative
2008,0.7808733333333333,positive,0.6363333333333333,positive
2009,0.08292999999999999,positive,0.7808733333333333,positive
2010,-2.428193333333333,negative,0.08292999999999999,positive
2011,0.4387999999999999,positive,-2.428193333333333,negative
2012,0.2603683333333333,positive,0.4387999999999999,positive
2013,-1.6007733333333334,negative,0.2603683333333333,positive
2014,0.09360500000000001,positive,-1.6007733333333334,negative
2015,1.3238666666666665,positive,0.09360500000000001,positive
2016,-0.39732700000000004,negative,1.3238666666666665,positive
2017,0.8824099999999999,positive,-0.39732700000000004,negative
2018,-0.3697433333333333,negative,0.8824099999999999,positive
2019,0.8508,positive,-0.3697433333333333,negative
