year,index,positive,date,month,day
1990,1.0007,1,1990-01-01,01,1
1990,3.4016,1,1990-02-01,02,1
1990,2.99,1,1990-03-01,03,1
1990,1.8788,1,1990-04-01,04,1
1990,0.94282,1,1990-05-01,05,1
1990,0.3043,1,1990-06-01,06,1
1990,-0.29581,0,1990-07-01,07,1
1990,-0.18024,0,1990-08-01,08,1
1990,-0.2104,0,1990-09-01,09,1
1990,0.66034,1,1990-10-01,10,1
1990,0.52064,1,1990-11-01,11,1
1990,1.2767,1,1990-12-01,12,1
1991,0.72323,1,1991-01-01,01,1
1991,-0.87599,0,1991-02-01,02,1
1991,-0.5268,0,1991-03-01,03,1
1991,0.53021,1,1991-04-01,04,1
1991,0.48649,1,1991-05-01,05,1
1991,-0.11536,0,1991-06-01,06,1
1991,-0.18797,0,1991-07-01,07,1
1991,0.79688,1,1991-08-01,08,1
1991,-0.11221,0,1991-09-01,09,1
1991,-0.25195,0,1991-10-01,10,1
1991,0.28465,1,1991-11-01,11,1
1991,1.6132,1,1991-12-01,12,1
1992,0.55003,1,1992-01-01,01,1
1992,1.1217,1,1992-02-01,02,1
1992,0.98423,1,1992-03-01,03,1
1992,-0.52053,0,1992-04-01,04,1
1992,1.3414,1,1992-05-01,05,1
1992,-0.30196,0,1992-06-01,06,1
1992,0.19113,1,1992-07-01,07,1
1992,0.53534,1,1992-08-01,08,1
1992,-0.6403,0,1992-09-01,09,1
1992,-0.36589,0,1992-10-01,10,1
1992,0.71699,1,1992-11-01,11,1
1992,1.6267,1,1992-12-01,12,1
1993,3.4953,1,1993-01-01,01,1
1993,0.1845,1,1993-02-01,02,1
1993,0.76435,1,1993-03-01,03,1
1993,-0.43545,0,1993-04-01,04,1
1993,-1.6075,0,1993-05-01,05,1
1993,-0.51951,0,1993-06-01,06,1
1993,-0.5107,0,1993-07-01,07,1
1993,-0.39299,0,1993-08-01,08,1
1993,-0.36063,0,1993-09-01,09,1
1993,-0.56501,0,1993-10-01,10,1
1993,1.0018,1,1993-11-01,11,1
1993,-0.10412,0,1993-12-01,12,1
1994,-0.28785,0,1994-01-01,01,1
1994,-0.86154,0,1994-02-01,02,1
1994,1.881,1,1994-03-01,03,1
1994,0.22474,1,1994-04-01,04,1
1994,-0.11545,0,1994-05-01,05,1
1994,1.6063,1,1994-06-01,06,1
1994,0.35074,1,1994-07-01,07,1
1994,0.82753,1,1994-08-01,08,1
1994,-0.084055,0,1994-09-01,09,1
1994,0.17403,1,1994-10-01,10,1
1994,1.7794,1,1994-11-01,11,1
1994,0.89383,1,1994-12-01,12,1
1995,-0.15377,0,1995-01-01,01,1
1995,1.4289,1,1995-02-01,02,1
1995,0.39323,1,1995-03-01,03,1
1995,-0.96313,0,1995-04-01,04,1
1995,-0.8912,0,1995-05-01,05,1
1995,-0.11182,0,1995-06-01,06,1
1995,-0.21708,0,1995-07-01,07,1
1995,0.54359,1,1995-08-01,08,1
1995,-0.54903,0,1995-09-01,09,1
1995,0.075041,1,1995-10-01,10,1
1995,-0.72327,0,1995-11-01,11,1
1995,-2.1271,0,1995-12-01,12,1
1996,-1.2004,0,1996-01-01,01,1
1996,0.16321,1,1996-02-01,02,1
1996,-1.4832,0,1996-03-01,03,1
1996,-1.5251,0,1996-04-01,04,1
1996,-0.22642,0,1996-05-01,05,1
1996,0.49673,1,1996-06-01,06,1
1996,0.71457,1,1996-07-01,07,1
1996,0.12471,1,1996-08-01,08,1
1996,-1.14,0,1996-09-01,09,1
1996,0.18253,1,1996-10-01,10,1
1996,0.13637,1,1996-11-01,11,1
1996,-1.7208,0,1996-12-01,12,1
1997,-0.45677,0,1997-01-01,01,1
1997,1.8887,1,1997-02-01,02,1
1997,1.0908,1,1997-03-01,03,1
1997,0.32363,1,1997-04-01,04,1
1997,-0.96113,0,1997-05-01,05,1
1997,-0.81499,0,1997-06-01,06,1
1997,-0.43061,0,1997-07-01,07,1
1997,0.12062,1,1997-08-01,08,1
1997,0.19451,1,1997-09-01,09,1
1997,-0.69971,0,1997-10-01,10,1
1997,-0.66113,0,1997-11-01,11,1
1997,-0.071116,0,1997-12-01,12,1
1998,-2.0806,0,1998-01-01,01,1
1998,-0.18318,0,1998-02-01,02,1
1998,-0.25442,0,1998-03-01,03,1
1998,-0.037912,0,1998-04-01,04,1
1998,0.42864,1,1998-05-01,05,1
1998,-0.71073,0,1998-06-01,06,1
1998,-0.21167,0,1998-07-01,07,1
1998,0.65033,1,1998-08-01,08,1
1998,-1.0499,0,1998-09-01,09,1
1998,0.29433,1,1998-10-01,10,1
1998,-1.4494,0,1998-11-01,11,1
1998,1.3534,1,1998-12-01,12,1
1999,0.11035,1,1999-01-01,01,1
1999,0.48213,1,1999-02-01,02,1
1999,-1.4916,0,1999-03-01,03,1
1999,0.28445,1,1999-04-01,04,1
1999,0.22587,1,1999-05-01,05,1
1999,0.70703,1,1999-06-01,06,1
1999,-0.0020418,0,1999-07-01,07,1
1999,-0.67215,0,1999-08-01,08,1
1999,0.059078,1,1999-09-01,09,1
1999,-0.0058023,0,1999-10-01,10,1
1999,0.61094,1,1999-11-01,11,1
1999,1.0431,1,1999-12-01,12,1
2000,1.2702,1,2000-01-01,01,1
2000,1.0758,1,2000-02-01,02,1
2000,-0.45136,0,2000-03-01,03,1
2000,-0.27852,0,2000-04-01,04,1
2000,0.96909,1,2000-05-01,05,1
2000,0.5861,1,2000-06-01,06,1
2000,-0.64943,0,2000-07-01,07,1
2000,0.14389,1,2000-08-01,08,1
2000,0.39486,1,2000-09-01,09,1
